No,StarYear,"PlotCode",Name,Province,Amphoe,Tambon,Type,Lat,Lon,GMap,Tag_Count,SP_Count,Shanon,Biomass
186,2025,S86-25-S01,ริมถนน 4015 (แนวสนทะเลติดชาดหาด),ชุมพร,ปะทิว,ปากคลอง,S,10.91765,99.49996,"https://www.google.com/maps?t=k&q=10.91765,99.49996",86,1,0.00,"120,305.39"
187,2023,S90-01-M01,เขาตังกวน สงขลา,สงขลา,เมืองสงขลา,บ่อยาง,M,7.2088,100.58747,"https://www.google.com/maps?t=k&q=7.208795,100.587472",242,15,1.68,"17,370.79"
188,2023,S90-01-P01,สวนสาธารณะเมืองสงขลา,สงขลา,เมืองสงขลา,บ่อยาง,P,7.21314,100.58842,"https://www.google.com/maps?t=k&q=7.213138,100.588415",22,9,1.77,"41,198.39"
189,2023,S90-01-S01,แหลมสนอ่อน สงขลา,สงขลา,เมืองสงขลา,บ่อยาง,S,7.21776,100.5858,"https://www.google.com/maps?t=k&q=7.217764,100.585802",31,2,0.14,"62,497.95"
190,2025,S91-25-M01,วัดหน้าเมือง,สตูล,เมืองสตูล,คลองขุด,M,6.66738,100.0741,"https://www.google.com/maps?t=k&q=6.66738,100.0741",23,8,1.74,"21,655.69"
191,2025,S92-25-M01,ม.อ. วิทยาเขตตรัง,ตรัง,กันตัง,ควนธานี,M,7.51539,99.58272,"https://www.google.com/maps?t=k&q=7.515389,99.58272",244,16,2.13,"20,435.77"
192,2025,S92-25-P01,สวนสาธารณะสมเด็จพระศรีนครินทร์,ตรัง,เมืองตรัง,นาตาล่วง,P,7.57102,99.59858,"https://www.google.com/maps?t=k&q=7.57102,99.59858",18,11,2.26,"18,031.17"
193,2025,S92-25-S01,สนามปั่นอันดามัน,ตรัง,เมืองตรัง,นาท่ามเหนือ,S,7.60471,99.60222,"https://www.google.com/maps?t=k&q=7.60471,99.60222",33,5,1.10,"20,008.25"
194,2025,S93-25-M01,วัดวัง,พัทลุง,เมืองพัทลุง,ลำปำ,M,7.62295,100.14204,"https://www.google.com/maps?t=k&q=7.62295,100.14204",87,14,1.92,"23,802.42"
195,2025,S93-25-S01,จุดชมวิวลำป่ำ,พัทลุง,เมืองพัทลุง,ลำปำ,S,7.62608,100.15762,"https://www.google.com/maps?t=k&q=7.62608,100.15762",40,3,0.73,"74,662.73"
196,2023,S95-01-P01,สวนขัวญเมือง 1 ยะลา,ยะลา,เมืองยะลา,สะเตง,P,6.54162,101.27609,"https://www.google.com/maps?t=k&q=6.541617,101.276086",43,9,1.51,"31,126.14"
197,2023,S95-01-S01,สวนขวัญเมือง 2 ยะลา,ยะลา,เมืองยะลา,สะเตง,S,6.53956,101.27425,"https://www.google.com/maps?t=k&q=6.539555,101.274254",39,4,0.69,"98,805.03"
198,2023,S95-01-S02,สวนศรีเมืองริมแม่น้ำหน้าขนส่ง ยะลา,ยะลา,เมืองยะลา,สะเตง,S,6.55767,101.26809,"https://www.google.com/maps?t=k&q=6.557672,101.268085",77,5,1.06,"9,451.74"
199,2025,S96-25-M01,ศูนย์ศึกษาการพัฒนาพิกุลทอง,นราธิวาส,เมืองนราธิวาส,กะลุวอเหนือ,M,6.38972,101.87306,"https://www.google.com/maps?t=k&q=6.389722,101.873056",385,10,1.24,"19,087.02"
200,2025,W63-25-M01,สถานีพัฒนาที่ดินตาก,ตาก,เมืองตาก,แม่ท้อ,M,16.835,99.10361,"https://www.google.com/maps?t=k&q=16.835,99.103611",194,21,2.66,"18,523.58"
201,2025,W63-25-P01,สวนสาธารณะเฉลิมพระเกียรติ ป่าไม้ชายน้ำปิง,ตาก,เมืองตาก,ป่ามะม่วง,P,16.86897,99.11956,"https://www.google.com/maps?t=k&q=16.86897,99.11956",80,16,2.23,"31,762.73"
202,2025,W63-25-S01,สวนสาธารณะแม่ปิงตาก,ตาก,เมืองตาก,ระแหง,S,16.86746,99.12372,"https://www.google.com/maps?t=k&q=16.86746,99.12372",20,9,1.71,"75,714.80"
203,2025,W70-25-M01,พิพิธภัณฑ์หนังใหญ่วัดขนอน,ราชบุรี,โพธาราม,สร้อยฟ้า,M,13.72694,99.84306,"https://www.google.com/maps?t=k&q=13.726944,99.843056",107,12,1.21,"80,567.36"
204,2025,W70-25-P01,สวนสาธารณะ ดงยาง,ราชบุรี,บ้านโป่ง,สวนกล้วย,P,13.81134,99.88733,"https://www.google.com/maps?t=k&q=13.8113361426561,99.8873338647086",39,3,0.82,"109,009.81"
205,2025,W70-25-S01,สระโกสินารายณ์และแนวกำแพงเมือง,ราชบุรี,บ้านโป่ง,บ้านโป่ง,S,13.85835,99.84943,"https://www.google.com/maps?t=k&q=13.858349,99.849428",75,29,3.17,"58,906.78"
206,2025,W77-25-M02,ศูนย์ปฏิบัติการที่ดินชัยพัฒนา-แม่ฟ้าหลวง,ประจวบคีรีขันธ์,หัวหิน,หนองพลับ,M,12.61361,99.75092,"https://www.google.com/maps?t=k&q=12.613614,99.750919",161,20,2.27,"35,874.87"
207,2025,W76-25-P01,สวนสุขภาพต่างระดับชะอำ,เพชรบุรี,ชะอำ,ชะอำ,P,12.8083,99.94407,"https://www.google.com/maps?t=k&q=12.8083,99.94407",20,9,1.94,"8,973.03"
208,2025,W76-25-S01,ชายหาดชะอำ,เพชรบุรี,ชะอำ,ชะอำ,S,12.78142,99.97897,"https://www.google.com/maps?t=k&q=12.781417,99.978972",58,1,0.00,"36,037.40"
209,2023,W77-02-M01,ป่าชายหาด สถานีฝึกนิสิตวนศาสตร์หาดวนกร,ประจวบคีรีขันธ์,ทับสะแก,ห้วยยาง,M,11.62003,99.6921,"https://www.google.com/maps?t=k&q=11.620032,99.692096",39,2,0.12,"131,249.24"
210,2025,W77-25-P01,หอดูดาวหว้ากอ อาคารดาราศาสตร์และอวกาศ,ประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์,คลองวาฬ,P,11.71765,99.75609,"https://www.google.com/maps?t=k&q=11.71765,99.75609",52,16,2.34,"21,881.80"
